seq_name,mcg,gvh,alm,mit,erl,pox,vac,nuc,classification,class_code,z_cyt,z_nuc,z_mit,z_me3,z_me2,z_me1,z_exc,z_vac,z_pox,z_erl
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0,0.56,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
PYR1_YEAST,0.56,0.49,0.47,0.13,0.5,0,0.52,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
PAS3_YEAST,0.68,0.59,0.44,0.49,0.5,0,0.4,0.26,POX,8,0,0,0,0,0,0,0,0,1,0
TYSY_YEAST,0.47,0.46,0.53,0.12,0.5,0,0.51,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
SYQ_YEAST,0.49,0.42,0.54,0.17,0.5,0,0.5,0.36,CYT,0,1,0,0,0,0,0,0,0,0,0
SWI6_YEAST,0.41,0.56,0.53,0.16,0.5,0,0.55,0.26,NUC,1,0,1,0,0,0,0,0,0,0,0
HXT2_YEAST,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,VAC,7,0,0,0,0,0,0,0,1,0,0
NCPR_YEAST,0.78,0.63,0.53,0.13,0.5,0,0.54,0.22,ME2,4,0,0,0,0,1,0,0,0,0,0
RFC3_YEAST,0.34,0.58,0.5,0.26,0.5,0,0.51,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
SNC1_YEAST,0.27,0.41,0.24,0.2,0.5,0,0.49,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
ADR6_YEAST,0.48,0.17,0.37,0.33,0.5,0,0.44,0.36,NUC,1,0,1,0,0,0,0,0,0,0,0
ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0,0.58,0.48,NUC,1,0,1,0,0,0,0,0,0,0,0
RF1M_YEAST,0.6,0.62,0.54,0.4,0.5,0,0.5,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
SYTM_YEAST,0.41,0.47,0.58,0.62,0.5,0,0.5,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
HS73_YEAST,0.51,0.48,0.51,0.26,0.5,0,0.51,0.27,CYT,0,1,0,0,0,0,0,0,0,0,0
RPB1_YEAST,0.44,0.62,0.53,0.27,0.5,0,0.49,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
SYLM_YEAST,0.6,0.51,0.52,0.45,0.5,0,0.5,0.27,MIT,2,0,0,1,0,0,0,0,0,0,0
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,NUC,1,0,1,0,0,0,0,0,0,0,0
HS71_YEAST,0.53,0.48,0.51,0.18,0.5,0,0.52,0.27,CYT,0,1,0,0,0,0,0,0,0,0,0
SDHL_YEAST,0.46,0.42,0.51,0.16,0.5,0,0.56,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
SYV_YEAST,0.51,0.49,0.48,0.55,0.5,0,0.52,0.58,CYT,0,1,0,0,0,0,0,0,0,0,0
TIP1_YEAST,0.77,0.7,0.44,0.29,0.5,0,0.56,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
CSG2_YEAST,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,ME2,4,0,0,0,0,1,0,0,0,0,0
CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
EXG1_YEAST,0.77,0.87,0.47,0.37,0.5,0,0.48,0.22,EXC,6,0,0,0,0,0,0,1,0,0,0
PUT1_YEAST,0.6,0.59,0.47,0.47,0.5,0,0.53,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0,0.45,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
YHU2_YEAST,0.6,0.68,0.3,0.27,0.5,0,0.55,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
RS41_YEAST,0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,CYT,0,1,0,0,0,0,0,0,0,0,0
MSS1_YEAST,0.58,0.57,0.54,0.69,0.5,0,0.54,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
FBRL_YEAST,0.35,0.44,0.54,0.26,0.5,0,0.52,0.26,NUC,1,0,1,0,0,0,0,0,0,0,0
EFTU_YEAST,0.61,0.73,0.5,0.58,0.5,0,0.5,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0,0.5,0.36,NUC,1,0,1,0,0,0,0,0,0,0,0
ATH1_YEAST,0.49,0.6,0.3,0.34,0.5,0,0.5,0.43,ME3,3,0,0,0,1,0,0,0,0,0,0
PR18_YEAST,0.33,0.39,0.52,0.09,0.5,0,0.47,0.28,NUC,1,0,1,0,0,0,0,0,0,0,0
YHQ1_YEAST,0.72,0.73,0.41,0.28,0.5,0,0.44,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
PROF_YEAST,0.47,0.49,0.6,0.15,0.5,0,0.38,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
RPD3_YEAST,0.37,0.3,0.51,0.15,0.5,0,0.58,0.26,NUC,1,0,1,0,0,0,0,0,0,0,0
KHS1_YEAST,0.89,0.77,0.36,0.34,0.5,0,0.44,0.22,EXC,6,0,0,0,0,0,0,1,0,0,0
PMP2_YEAST,0.97,0.71,0.29,0.42,0.5,0,0.35,0.22,ME2,4,0,0,0,0,1,0,0,0,0,0
R272_YEAST,0.39,0.65,0.57,0.19,0.5,0,0.43,0.25,CYT,0,1,0,0,0,0,0,0,0,0,0
LYS1_YEAST,0.5,0.45,0.48,0.17,0.5,0,0.5,0.26,CYT,0,1,0,0,0,0,0,0,0,0,0
GBA1_YEAST,0.3,0.5,0.47,0.11,0.5,0,0.46,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
RM20_YEAST,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33,MIT,2,0,0,1,0,0,0,0,0,0,0
PHO4_YEAST,0.44,0.42,0.57,0.22,0.5,0,0.5,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
HS72_YEAST,0.51,0.48,0.51,0.19,0.5,0,0.51,0.27,CYT,0,1,0,0,0,0,0,0,0,0,0
IF5_YEAST,0.41,0.46,0.57,0.25,0.5,0,0.57,0.38,CYT,0,1,0,0,0,0,0,0,0,0,0
RIM1_YEAST,0.55,0.38,0.64,0.42,0.5,0,0.47,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
VPH1_YEAST,0.57,0.54,0.32,0.15,0.5,0,0.52,0.25,VAC,7,0,0,0,0,0,0,0,1,0,0
VM11_YEAST,0.68,0.68,0.35,0.16,0.5,0,0.62,0.22,VAC,7,0,0,0,0,0,0,0,1,0,0
GAL7_YEAST,0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,CYT,0,1,0,0,0,0,0,0,0,0,0
DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
YCG9_YEAST,0.74,0.73,0.32,0.2,0.5,0,0.55,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
DHE2_YEAST,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,CYT,0,1,0,0,0,0,0,0,0,0,0
PORI_YEAST,0.41,0.49,0.58,0.22,0.5,0,0.52,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0,0.54,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
MTD1_YEAST,0.57,0.4,0.48,0.24,0.5,0,0.55,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
R37A_YEAST,0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
PR09_YEAST,0.51,0.39,0.56,0.25,0.5,0,0.51,0.33,NUC,1,0,1,0,0,0,0,0,0,0,0
SED5_YEAST,0.42,0.28,0.33,0.23,0.5,0,0.39,0.26,ME3,3,0,0,0,1,0,0,0,0,0,0
YCK1_YEAST,0.71,0.51,0.49,0.23,0.5,0,0.3,0.32,ME2,4,0,0,0,0,1,0,0,0,0,0
MSB2_YEAST,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33,NUC,1,0,1,0,0,0,0,0,0,0,0
YHG2_YEAST,0.2,0.6,0.5,0.29,0.5,0,0.51,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
NAB3_YEAST,0.42,0.28,0.57,0.18,0.5,0,0.42,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
RPC8_YEAST,0.57,0.42,0.63,0.22,0.5,0,0.68,0.32,NUC,1,0,1,0,0,0,0,0,0,0,0
SUV3_YEAST,0.61,0.54,0.54,0.38,0.5,0,0.54,0.29,MIT,2,0,0,1,0,0,0,0,0,0,0
FAD1_YEAST,0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
AGA1_YEAST,0.78,0.74,0.42,0.26,0.5,0,0.43,0.22,ME1,5,0,0,0,0,0,1,0,0,0,0
RAP1_YEAST,0.54,0.53,0.53,0.17,0.5,0,0.51,0.39,NUC,1,0,1,0,0,0,0,0,0,0,0
XRS2_YEAST,0.64,0.56,0.52,0.17,0.5,0,0.54,0.47,NUC,1,0,1,0,0,0,0,0,0,0,0
PT94_YEAST,0.59,0.58,0.47,0.61,0.5,0,0.44,0.3,MIT,2,0,0,1,0,0,0,0,0,0,0
TRK1_YEAST,0.55,0.39,0.39,0.47,0.5,0,0.5,0.83,ME3,3,0,0,0,1,0,0,0,0,0,0
YJ36_YEAST,0.32,0.36,0.34,0.19,0.5,0,0.55,0.26,ME3,3,0,0,0,1,0,0,0,0,0,0
RA16_YEAST,0.33,0.28,0.5,0.4,0.5,0,0.46,0.61,NUC,1,0,1,0,0,0,0,0,0,0,0
YCQ7_YEAST,0.67,0.61,0.39,0.24,0.5,0,0.51,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
YHX8_YEAST,0.4,0.43,0.49,0.17,0.5,0,0.51,0.36,NUC,1,0,1,0,0,0,0,0,0,0,0
EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,CYT,0,1,0,0,0,0,0,0,0,0,0
SP21_YEAST,0.44,0.59,0.54,0.18,0.5,0,0.49,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
YIB3_YEAST,0.52,0.46,0.34,0.2,0.5,0,0.51,0.25,ME3,3,0,0,0,1,0,0,0,0,0,0
YHA8_YEAST,0.63,0.65,0.42,0.18,0.5,0,0.54,0.27,ME3,3,0,0,0,1,0,0,0,0,0,0
CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0,0.49,0.41,NUC,1,0,1,0,0,0,0,0,0,0,0
PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0,0.5,0.37,NUC,1,0,1,0,0,0,0,0,0,0,0
ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
REB1_YEAST,0.58,0.31,0.6,0.12,0.5,0,0.47,0.33,NUC,1,0,1,0,0,0,0,0,0,0,0
UCRQ_YEAST,0.57,0.6,0.54,0.17,0.5,0,0.52,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
TPS2_YEAST,0.54,0.43,0.48,0.27,0.5,0,0.44,0.41,CYT,0,1,0,0,0,0,0,0,0,0,0
DHSB_YEAST,0.53,0.51,0.55,0.57,0.5,0,0.46,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
IF51_YEAST,0.44,0.55,0.51,0.16,0.5,0,0.6,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
YAE2_YEAST,0.39,0.63,0.41,0.27,0.5,0,0.49,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,NUC,1,0,1,0,0,0,0,0,0,0,0
KRE2_YEAST,0.89,0.82,0.6,0.49,0.5,0,0.55,0.22,ME2,4,0,0,0,0,1,0,0,0,0,0
PRCH_YEAST,0.42,0.53,0.57,0.17,0.5,0,0.49,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0,0.52,1,NUC,1,0,1,0,0,0,0,0,0,0,0
ERD1_YEAST,0.52,0.75,0.37,0.14,0.5,0,0.46,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
MDL1_YEAST,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
FUS1_YEAST,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,ME1,5,0,0,0,0,0,1,0,0,0,0
CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,NUC,1,0,1,0,0,0,0,0,0,0,0
YB37_YEAST,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25,ME1,5,0,0,0,0,0,1,0,0,0,0
UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,CYT,0,1,0,0,0,0,0,0,0,0,0
GEF1_YEAST,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,CYT,0,1,0,0,0,0,0,0,0,0,0
YN70_YEAST,0.51,0.65,0.53,0.19,0.5,0,0.49,0.22,EXC,6,0,0,0,0,0,0,1,0,0,0
TCPB_YEAST,0.5,0.45,0.52,0.18,0.5,0,0.52,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
YJ90_YEAST,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28,ME3,3,0,0,0,1,0,0,0,0,0,0
ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,ME3,3,0,0,0,1,0,0,0,0,0,0
TCPA_YEAST,0.5,0.49,0.46,0.22,0.5,0,0.53,0.25,CYT,0,1,0,0,0,0,0,0,0,0,0
PCNA_YEAST,0.49,0.71,0.54,0.13,0.5,0,0.58,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
FIMB_YEAST,0.51,0.4,0.5,0.28,0.5,0,0.48,0.27,CYT,0,1,0,0,0,0,0,0,0,0,0
TFC3_YEAST,0.47,0.38,0.5,0.15,0.5,0,0.49,0.47,NUC,1,0,1,0,0,0,0,0,0,0,0
RPA2_YEAST,0.35,0.41,0.53,0.27,0.5,0,0.47,0.29,NUC,1,0,1,0,0,0,0,0,0,0,0
NOP3_YEAST,0.44,0.34,0.61,0.13,0.5,0,0.49,0.26,NUC,1,0,1,0,0,0,0,0,0,0,0
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,NUC,1,0,1,0,0,0,0,0,0,0,0
NI96_YEAST,0.4,0.53,0.44,0.18,0.5,0,0.54,0.31,NUC,1,0,1,0,0,0,0,0,0,0,0
NU49_YEAST,0.69,0.62,0.49,0,1,0,0.47,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
SNP2_YEAST,0.51,0.5,0.54,0.11,0.5,0,0.6,0.22,NUC,1,0,1,0,0,0,0,0,0,0,0
SC72_YEAST,0.59,0.55,0.57,0.18,0.5,0,0.51,0.22,CYT,0,1,0,0,0,0,0,0,0,0,0
ODPB_YEAST,0.49,0.52,0.53,0.7,0.5,0,0.51,0.22,MIT,2,0,0,1,0,0,0,0,0,0,0
RL44_YEAST,0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,CYT,0,1,0,0,0,0,0,0,0,0,0
STE3_YEAST,0.88,0.72,0.32,0.3,0.5,0,0.52,0.33,ME1,5,0,0,0,0,0,1,0,0,0,0
YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25,ME3,3,0,0,0,1,0,0,0,0,0,0
INV1_YEAST,0.74,0.82,0.46,0.24,0.5,0,0.5,0.31,EXC,6,0,0,0,0,0,0,1,0,0,0
CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,NUC,1,0,1,0,0,0,0,0,0,0,0
